"","X","Gender","Age","Education","Occupation","Income","q1k","q2k","q3k","q4k","Q5K1","Q5K2","Q5K3","Q5K4","Q5K5","Q5K6","Q6K","Q7K","Q8K","Q9K","Q10C1","Q10C2","Q10C3","Q10C4","Q10C5","Q10C6","Q10C7","Q11C1","Q11C2","Q11C3","Q11C4","Q11C5","Q12C1","Q12C2","Q12C3","Q12C4","Q12C5","Q12C6","Q13C1","Q13C2","Q13C3","Q13C4","Q13C5","Q14C","Q15C1","Q15C2","Q15C3","Q15C4","Q15C5","Q16P1","Q16P2","Q16P3","Q17P1","Q17P2","Q17P3","Q17P4","Q17P5","Q18I1","Q18I2","Q18I3","Q18I4","Q19C1","Q19C2","Q19C3","Q19C4","Q19c5","Q19c6","knwSum","sum5"
"23",23,1,21,2,1,2,1,1,0,0,1,1,0,1,0,1,1,1,0,0,2,1,1,1,1,1,1,3,3,3,3,3,2,3,5,4,6,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,2,1,1,5,5,5,5,1,5,2,4,3,6,4.66666666666667,0.666666666666667
"24",24,1,28,3,2,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,4,5,3,1,2,6,0,1,1,0,1,1,0,0,1,1,1,0,1,0,2,2,2,2,3,2,2,2,2,5,4,1,2,3,6,2.5,0.5
"25",25,2,37,2,2,3,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,5,6,0,1,1,0,1,1,1,1,1,1,1,1,0,0,2,2,1,1,2,5,5,5,5,4,3,2,5,1,6,4.5,0.5
"26",26,2,36,2,2,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,3,4,2,5,6,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2,2,2,2,2,5,5,4,4,4,2,1,5,3,6,2.33333333333333,0.333333333333333
"27",27,1,35,2,2,3,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,4,1,1,1,1,1,1,1,3,4,6,1,2,5,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,2,5,5,5,5,5,1,2,3,4,6,5.5,0.5
"28",28,2,28,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,3,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,0,2,2,2,2,3,5,5,5,5,5,1,2,3,4,6,6,1
"29",29,2,25,3,4,2,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,4,2,3,2,2,2,1,1,1,1,1,6,5,1,2,3,4,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,2,1,3,5,3,5,5,3,2,4,5,1,6,5.16666666666667,0.166666666666667
"31",31,2,24,2,1,2,0,1,0,1,1,1,0,1,1,1,1,1,1,0,2,2,2,2,1,1,1,1,1,1,1,1,4,3,2,6,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,3,5,5,2,1,4,5,3,6,5.83333333333333,0.833333333333333
"32",32,2,42,2,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,1,2,5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,2,1,1,1,1,1,3,4,5,2,1,6,7.83333333333333,0.833333333333333
"33",33,2,42,2,4,3,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,5,6,1,2,4,3,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,2,1,3,5,5,5,5,2,3,4,5,1,6,4.66666666666667,0.666666666666667
"34",34,2,34,2,2,2,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,2,3,1,1,2,1,1,1,1,1,3,4,5,2,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,2,2,2,2,1,1,2,1,4,3,2,5,1,6,3.66666666666667,0.666666666666667
"35",35,2,37,2,4,3,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,1,1,1,1,2,3,6,1,4,5,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,3,2,4,5,1,6,6,1
"36",36,2,28,2,4,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,6,5,3,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,5,5,5,5,4,3,5,2,1,6,7,1
"37",37,2,36,2,2,3,0,1,0,1,1,1,1,0,1,1,1,0,0,0,2,1,2,2,2,2,2,1,1,1,1,1,1,2,6,4,5,3,1,1,1,0,0,2,1,1,1,1,1,0,1,1,3,2,2,2,2,3,3,3,4,2,1,3,5,4,6,3.83333333333333,0.833333333333333
"38",38,2,42,3,2,2,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,2,1,1,1,1,1,1,2,3,4,5,6,1,1,1,0,0,1,1,1,1,1,1,1,0,1,2,2,3,2,2,5,5,5,5,5,2,3,4,1,6,4,1
"39",39,2,27,3,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,3,4,2,5,6,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,5,5,5,1,2,4,5,3,6,6.5,0.5
"40",40,2,36,2,2,3,0,1,1,1,1,1,0,0,0,1,1,0,0,0,2,2,2,3,1,1,1,1,1,1,1,1,5,4,1,6,3,2,0,1,1,0,1,1,1,1,1,1,1,0,1,0,2,3,1,2,2,4,4,5,5,5,3,2,4,1,6,4.5,0.5
"41",41,2,19,2,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,3,5,4,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,5,5,5,5,5,1,3,2,4,6,7.83333333333333,0.833333333333333
"42",42,2,50,3,4,3,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,1,5,6,2,1,0,0,1,1,1,1,1,1,1,1,1,0,0,2,2,1,2,2,1,1,1,1,1,2,5,4,3,6,7,1
"43",43,2,30,2,2,3,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,4,1,3,1,1,1,1,1,1,1,1,1,6,3,5,2,4,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,5,5,5,5,5,1,4,6,2,3,4.33333333333333,0.333333333333333
"44",44,2,20,2,1,2,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,4,1,0,2,5,3,0,1,1,0,1,2,1,1,1,1,1,1,0,0,1,1,2,1,1,5,5,5,5,1,2,5,3,4,6,4.83333333333333,0.833333333333333
"45",45,2,24,2,2,2,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,5,1,6,3,4,2,1,1,0,0,1,2,1,0,1,1,1,1,1,0,3,1,2,1,2,5,5,4,3,1,2,3,5,4,6,6.66666666666667,0.666666666666667
"46",46,2,37,2,2,3,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,5,6,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,2,1,2,4,5,4,5,5,2,3,4,5,1,6,3.66666666666667,0.666666666666667
"47",47,2,31,2,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,2,6,3,1,5,4,0,1,1,0,1,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,1,6,7,1
"48",48,1,27,2,2,2,1,1,0,0,1,1,0,0,1,1,0,1,0,0,2,2,1,2,2,2,2,1,1,1,1,1,6,4,3,1,5,2,0,1,1,0,1,1,1,0,1,0,1,0,1,1,3,3,2,3,2,3,3,4,4,5,3,4,2,1,6,3.66666666666667,0.666666666666667
"49",49,2,36,2,2,3,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,5,5,5,5,2,3,4,5,1,6,5,1
"51",51,2,16,1,1,2,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,6,2,5,1,1,0,1,0,1,1,1,1,1,1,1,0,0,3,1,1,1,1,5,5,5,5,1,2,3,5,4,6,5.83333333333333,0.833333333333333
"52",52,2,17,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,3,2,2,2,1,1,1,1,1,2,1,3,0,5,4,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2,2,2,1,1,5,5,4,5,4,1,3,5,2,6,6,1
"53",53,2,35,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,2,3,2,2,2,2,1,1,1,1,1,1,2,3,4,5,6,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,2,3,3,5,3,5,4,0,0,0,0,0,0,2.16666666666667,0.166666666666667
"54",54,2,37,3,2,2,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,2,2,1,1,1,1,1,1,1,1,4,6,5,2,3,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,2,2,1,1,1,5,5,5,5,4,3,1,5,2,6,5.66666666666667,0.666666666666667
"56",56,1,15,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,6,4,3,1,5,2,0,1,1,0,1,1,1,0,1,1,1,1,0,0,3,2,2,1,1,5,5,3,5,2,1,4,5,3,6,7.83333333333333,0.833333333333333
"57",57,1,21,2,1,2,1,1,1,0,1,0,1,0,0,1,1,1,0,0,2,1,4,4,1,1,1,1,1,1,1,1,5,4,3,2,6,1,1,1,0,0,1,2,0,0,0,0,1,0,1,0,2,3,3,2,4,4,4,4,5,4,1,3,5,2,6,5.5,0.5
"58",58,1,27,2,2,2,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,2,3,3,1,1,1,1,1,1,1,1,1,5,6,2,3,4,0,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,2,2,5,5,5,5,1,2,3,4,5,6,5.83333333333333,0.833333333333333
"60",60,2,16,1,1,2,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,2,3,1,1,2,1,1,1,1,1,5,2,6,1,3,4,1,1,1,0,0,2,0,1,0,0,0,0,1,0,2,2,2,1,2,3,4,4,5,1,2,5,3,4,6,5.5,0.5
"62",62,2,36,2,2,4,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,2,1,1,2,2,2,2,1,1,3,2,1,4,5,6,0,1,1,0,1,1,0,0,0,0,1,0,0,1,3,3,3,3,3,5,5,5,5,5,1,2,3,4,6,5.66666666666667,0.666666666666667
"64",64,1,16,1,1,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,3,3,2,2,3,1,2,1,1,1,4,3,2,5,6,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,2,2,3,4,4,4,3,3,3,2,1,3,5,4,6,3.5,0.5
"66",66,2,22,2,4,2,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,5,6,1,1,1,0,0,1,1,0,0,0,0,1,0,0,2,2,2,2,2,3,3,3,3,1,2,4,5,3,6,3.66666666666667,0.666666666666667
"68",68,2,44,2,4,2,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,2,2,2,1,1,1,1,1,1,1,1,5,2,4,1,3,6,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,5,5,5,1,5,4,3,2,6,5.83333333333333,0.833333333333333
"69",69,2,31,3,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,1,1,1,5,6,4,1,3,2,0,1,1,0,1,1,1,0,1,0,1,1,0,0,2,2,1,2,1,5,5,5,5,5,3,2,4,1,6,7,1
"70",70,2,33,3,4,3,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2,1,1,1,1,1,1,1,1,4,1,3,5,6,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5,5,4,3,3,2,4,5,1,6,7,1
"72",72,2,20,2,1,2,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,5,5,5,1,2,3,5,4,6,5.33333333333333,0.333333333333333
"73",73,2,40,2,2,3,1,1,0,1,0,1,0,1,1,1,1,0,0,0,2,1,1,1,2,1,2,1,1,1,1,1,1,3,2,4,5,6,1,1,1,0,0,2,1,0,1,0,1,1,0,1,1,1,1,1,1,5,5,5,4,1,4,5,2,3,6,4.66666666666667,0.666666666666667
"74",74,1,15,1,1,2,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,6,2,3,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,2,2,2,2,2,5,5,5,4,5,2,4,1,3,6,7.16666666666667,0.166666666666667
"75",75,2,16,1,1,2,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,2,3,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,5,5,5,5,1,2,4,3,5,6,5,1
"76",76,1,16,1,1,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,1,1,2,2,1,1,1,1,1,1,1,4,5,6,2,1,3,1,1,1,0,0,2,1,1,1,1,1,0,0,1,1,1,3,2,1,4,3,5,5,2,3,5,4,1,6,6.83333333333333,0.833333333333333
"77",77,2,40,3,4,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,2,1,1,2,1,1,1,1,1,1,1,1,1,3,5,2,4,6,1,1,1,0,0,1,1,0,0,0,1,0,1,0,2,2,2,2,2,5,1,2,2,1,4,5,3,2,6,4.16666666666667,0.166666666666667
"78",78,2,47,3,2,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,2,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,2,5,5,5,2,1,3,4,5,6,4.16666666666667,0.166666666666667
"79",79,1,41,3,4,2,0,1,0,0,1,1,1,0,1,1,1,1,0,0,2,1,2,2,2,2,1,1,1,1,1,1,1,2,3,4,5,6,0,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,2,2,5,3,5,5,1,2,3,4,5,6,3.83333333333333,0.833333333333333
"80",80,2,30,3,2,3,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,2,4,5,6,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,1,1,4,1,5,5,2,3,1,4,5,6,4.66666666666667,0.666666666666667
"81",81,2,16,1,1,2,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,5,6,2,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,5,5,5,5,5,4,3,2,1,6,7.5,0.5
"82",82,2,17,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,5,3,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,2,2,2,1,2,1,2,1,4,1,5,2,3,6,6,1
"84",84,2,16,1,1,2,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,6,5,0,1,1,0,1,2,0,0,0,0,1,0,1,1,1,2,3,2,1,5,5,5,5,3,1,5,4,2,6,5.5,0.5
"85",85,1,15,1,1,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,5,1,2,1,1,1,0,0,2,0,0,0,0,1,0,1,0,2,2,2,2,1,3,4,5,5,4,1,2,5,3,6,3.5,0.5
"86",86,2,16,1,1,2,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,2,3,1,0,1,1,0,1,2,1,1,1,1,1,0,1,0,2,2,1,1,2,5,4,4,4,2,1,3,5,4,6,4.5,0.5
"87",87,2,41,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,2,1,1,1,1,1,2,1,6,4,1,2,5,3,0,1,1,0,1,2,1,1,1,1,1,1,0,0,2,2,1,2,2,4,5,4,4,3,2,1,5,4,6,8,1
"88",88,2,34,3,4,3,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,6,3,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,2,5,5,5,5,5,4,3,2,1,6,6,1
"90",90,2,42,2,4,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,2,4,1,2,2,1,1,1,1,1,1,2,3,5,6,4,1,1,1,0,0,2,1,1,0,1,1,0,0,0,1,2,1,2,1,3,4,5,5,5,2,3,4,1,6,4.5,0.5
"91",91,2,28,3,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,5,6,1,1,1,0,0,1,1,1,1,1,1,0,1,0,2,2,1,1,1,5,5,5,5,4,3,1,5,2,6,3.16666666666667,0.166666666666667
"96",96,1,16,1,1,2,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,2,2,3,1,1,2,1,1,1,1,1,5,6,1,4,3,2,1,0,0,1,1,1,1,0,1,1,1,0,1,0,2,2,3,2,3,3,4,3,5,6,1,5,3,4,2,4.5,0.5
"97",97,1,31,3,4,3,1,1,1,1,1,1,0,0,0,1,1,0,0,1,2,2,1,2,2,2,2,1,1,1,1,1,5,6,4,2,3,1,0,1,1,0,1,2,0,0,0,0,1,0,1,0,1,2,1,2,2,2,2,2,2,1,2,3,5,4,6,6.5,0.5
"99",99,2,16,1,1,2,1,1,0,0,1,1,0,1,0,0,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,6,4,1,3,5,2,0,1,1,0,1,2,1,1,1,1,1,0,1,1,2,2,2,2,2,3,3,3,3,1,2,3,4,6,5,6.5,0.5
"102",102,2,36,2,2,3,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,2,2,2,2,1,1,1,1,1,2,4,5,1,6,3,0,1,1,0,1,1,1,0,0,0,1,0,0,1,2,2,2,2,2,5,5,5,5,5,2,1,4,3,6,4.5,0.5
"105",105,1,25,2,4,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,2,3,1,1,2,1,1,1,1,1,3,2,1,4,6,5,1,1,0,0,1,2,0,0,0,0,1,1,0,0,1,2,1,2,4,5,5,3,2,3,2,1,4,5,6,5,1
"107",107,2,16,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,1,1,1,1,2,1,1,1,4,1,3,2,5,6,1,1,0,1,0,2,1,1,1,1,1,0,1,1,2,2,2,2,2,3,3,3,3,1,2,5,3,4,6,2.16666666666667,0.166666666666667
"108",108,2,45,3,4,3,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,4,5,1,3,6,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,4,5,2,6,6.5,0.5
"110",110,2,15,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,1,1,1,1,1,1,1,1,1,4,5,3,6,1,2,1,0,0,1,1,1,0,0,0,0,1,0,1,0,2,2,1,1,2,5,5,5,5,1,5,4,3,2,6,2,0
"111",111,2,36,3,2,3,0,1,0,0,1,1,0,0,0,1,1,1,1,0,2,1,2,2,1,1,2,1,1,1,1,1,5,4,2,3,6,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,3,2,2,2,2,3,3,3,3,3,4,2,5,1,6,4.5,0.5
"112",112,1,16,1,1,2,1,1,0,0,1,1,1,1,1,1,0,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,3,5,4,2,6,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,3,3,2,3,3,2,3,2,2,1,2,4,5,3,6,4,1
"113",113,1,15,1,1,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,3,1,1,2,3,1,1,1,1,1,3,5,2,4,6,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,2,2,2,3,5,5,5,5,2,1,4,3,5,6,4.16666666666667,0.166666666666667
"114",114,2,43,3,4,3,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,4,6,3,1,1,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,4,4,5,5,1,3,4,2,5,6,6.66666666666667,0.666666666666667
"115",115,2,35,2,2,2,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,1,4,6,0,1,1,1,0,1,1,1,1,1,0,1,0,1,3,2,2,2,3,2,2,3,4,5,3,4,2,1,6,7.5,0.5
"117",117,2,24,2,2,2,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,1,2,6,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,2,1,1,1,5,5,5,5,5,2,4,3,1,6,5,1
"120",120,2,16,1,1,2,0,1,1,0,1,1,0,1,0,1,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,5,6,4,1,3,2,1,0,0,1,1,2,0,0,0,0,1,0,1,0,3,3,3,3,3,2,4,2,5,2,1,3,4,5,6,2.66666666666667,0.666666666666667
"122",122,2,27,2,3,2,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,3,3,1,1,1,1,1,1,1,1,4,5,3,2,6,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,2,2,1,2,3,5,5,5,3,2,1,3,5,4,6,4.5,0.5
"125",125,2,25,2,2,2,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,1,4,5,1,1,1,0,0,1,1,1,1,1,1,0,0,1,2,2,2,2,2,5,1,5,5,5,1,2,3,4,6,4.83333333333333,0.833333333333333
"126",126,2,37,2,2,3,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1,2,4,3,5,6,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,2,1,2,4,4,4,4,4,1,2,5,3,6,5.83333333333333,0.833333333333333
"128",128,2,19,2,1,2,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,2,2,1,1,1,1,1,1,1,1,3,4,6,1,5,2,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2,2,1,1,2,3,3,3,5,5,2,4,3,1,6,6.5,0.5
"129",129,2,16,1,1,2,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,2,1,2,1,1,1,1,1,1,6,5,4,2,3,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,2,1,1,2,5,5,5,5,1,2,4,3,5,6,4.66666666666667,0.666666666666667
"130",130,2,16,1,1,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,2,2,1,1,1,1,1,1,1,1,4,1,5,6,2,3,0,1,0,1,1,2,0,0,0,0,1,1,0,0,1,1,2,1,3,5,5,5,5,2,1,5,3,4,6,1.5,0.5
